# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: glidestruct
# Creation date: 11/11/2019 12:33:48
# 
# 11/11/2019 12:33:48
# The parameters defined in the project are:
# ,P1 - Y1 [m],P2 - Y2 [m],P3 - Y3 [m],P4 - Y4 [m],P5 - R1 [m],P6 - R2 [m],P7 - R3 [m],P8 - R4 [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8
DP 0,0.2,0.15,0.1,0.05,0.001,0.001,0.001,0.001
# 
# A non parametric change occurred and invalidated design point results.
# 11/11/2019 12:39:02
# 
# 
# 11/11/2019 12:42:43
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - Y1 [m],P2 - Y2 [m],P3 - Y3 [m],P4 - Y4 [m],P5 - R1 [m],P6 - R2 [m],P7 - R3 [m],P8 - R4 [m],P9 - Geometry Mass [kg],P10 - Total Deformation Maximum [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
DP 60,0.20938271604938277,0.15049382716049384,0.090617283950617286,0.036666666666666667,0.0017314814814814834,0.0018611111111111142,0.0010462962962962963,0.0018240740740740767,0.04563976820324285,0.016991397365927696
DP 61,0.20987654320987661,0.15691358024691363,0.083703703703703725,0.046049382716049379,0.001175925925925926,0.0019907407407407426,0.0011018518518518519,0.000675925925925926,0.033186052696752136,0.065596975386142731
DP 62,0.21037037037037043,0.16333333333333341,0.1,0.039135802469135804,0.00052777777777777784,0.00082407407407407408,0.0014537037037037047,0.00078703703703703715,0.029201575399568622,0.059081234037876129
DP 63,0.21086419753086427,0.14753086419753086,0.10098765432098765,0.06086419753086425,0.0017685185185185206,0.00050925925925925932,0.0014166666666666674,0.0018055555555555581,0.039995463926502904,0.022202173247933388
DP 64,0.21135802469135809,0.14851851851851852,0.10148148148148148,0.067777777777777853,0.0016759259259259279,0.0019351851851851882,0.0017500000000000022,0.0012870370370370373,0.043559038764342077,0.029866607859730721
DP 65,0.21185185185185196,0.14407407407407408,0.10790123456790127,0.030246913580246913,0.00075,0.0014907407407407419,0.0011574074074074073,0.00063888888888888893,0.029584581811916089,0.072507619857788086
DP 66,0.21234567901234574,0.15345679012345681,0.10197530864197532,0.05691358024691362,0.0012870370370370373,0.00097222222222222219,0.00056481481481481487,0.00050925925925925932,0.023942586996504905,0.13571846485137939
DP 67,0.21283950617283959,0.13617283950617284,0.080246913580246909,0.055925925925925955,0.0007314814814814815,0.001583333333333335,0.001212962962962963,0.001212962962962963,0.03557449927343502,0.039833482354879379
DP 68,0.2133333333333334,0.15592592592592597,0.094074074074074074,0.030740740740740739,0.0014166666666666674,0.0014537037037037047,0.0019537037037037066,0.0014907407407407419,0.045720367985991876,0.018010836094617844
DP 69,0.21382716049382725,0.1317283950617284,0.090123456790123471,0.03419753086419753,0.0013981481481481488,0.0010462962962962963,0.00084259259259259259,0.0013055555555555559,0.032437529969787528,0.049655213952064514
DP 70,0.21432098765432106,0.13567901234567903,0.089629629629629629,0.048518518518518516,0.0019907407407407426,0.0012685185185185186,0.0016759259259259279,0.0011944444444444444,0.039968230658284525,0.030374115332961082
DP 71,0.21481481481481488,0.16432098765432107,0.084197530864197512,0.044567901234567907,0.0018425925925925953,0.00093518518518518506,0.0011203703703703703,0.00080555555555555556,0.029563060806275444,0.079481974244117737
DP 72,0.21530864197530875,0.14012345679012347,0.11382716049382723,0.037654320987654324,0.001583333333333335,0.00091666666666666676,0.0012870370370370373,0.001712962962962965,0.039271613596713439,0.022530056536197662
DP 73,0.21580246913580256,0.16679012345679017,0.0945679012345679,0.061851851851851908,0.0016388888888888907,0.0012870370370370373,0.0006018518518518519,0.0013425925925925931,0.03132510128677396,0.054184254258871078
DP 74,0.2162962962962964,0.13864197530864197,0.10493827160493829,0.047037037037037044,0.0014907407407407419,0.0018425925925925953,0.0010833333333333333,0.00062037037037037041,0.032828373516184679,0.063137859106063843
DP 75,0.21679012345679022,0.1371604938271605,0.10345679012345681,0.040617283950617283,0.000675925925925926,0.0010092592592592592,0.0017685185185185206,0.0014166666666666674,0.0388915071661865,0.025743497535586357
DP 76,0.21728395061728406,0.16185185185185191,0.1133333333333334,0.058888888888888928,0.00095370370370370379,0.0014722222222222233,0.0017870370370370395,0.0015462962962962976,0.040973674067274146,0.025568123906850815
DP 77,0.21777777777777788,0.15148148148148149,0.10049382716049382,0.057901234567901277,0.0014722222222222233,0.00084259259259259259,0.0018425925925925953,0.00054629629629629635,0.032894942799331507,0.041891556233167648
DP 78,0.21827160493827172,0.13074074074074074,0.10888888888888892,0.063827160493827223,0.0010648148148148149,0.001435185185185186,0.0010648148148148149,0.0011203703703703703,0.032314852887451409,0.054892722517251968
DP 79,0.21876543209876553,0.15938271604938278,0.084691358024691354,0.052962962962962976,0.001212962962962963,0.00095370370370370379,0.0013796296296296304,0.001898148148148151,0.041737705683190719,0.017834089696407318
